"Ukazatel","IndicatorType","Šetření","ZJIST","Odvětví ekonomické činnosti","CZNACEMZDY","Institucionální sektory-Sektor II","ISEKTORMZDH.ISEKTOR2","Institucionální sektory-Sektor V","ISEKTORMZDH.ISEKTOR5","Roky","CasR","ČR, regiony, kraje-Stát","Uz0123vm.STAT","ČR, regiony, kraje-Region","Uz0123vm.REGION","ČR, regiony, kraje-Kraj","Uz0123vm.KRAJ","Hodnota"
"Mzdy včetně ostatních osobních nákladů (tis. Kč)","697A","ČR","0","Celkem","A-S","Celkem","0","","","2017","2017","Česko","CZ","","","","","1502852770.54579"
"Mzdy včetně ostatních osobních nákladů (tis. Kč)","697A","ČR","0","Celkem","A-S","Celkem","0","","","2018","2018","Česko","CZ","","","","","1651056844.68378"
"Mzdy včetně ostatních osobních nákladů (tis. Kč)","697A","ČR","0","Celkem","A-S","Celkem","0","","","2019","2019","Česko","CZ","","","","","1784782515.84066"
"Mzdy včetně ostatních osobních nákladů (tis. Kč)","697A","ČR","0","Celkem","A-S","Celkem","0","","","2020","2020","Česko","CZ","","","","","1838647726.09321"
"Mzdy včetně ostatních osobních nákladů (tis. Kč)","697A","ČR","0","Celkem","A-S","Celkem","0","","","2021","2021","Česko","CZ","","","","","1949429895.9361274"
"Mzdy včetně ostatních osobních nákladů (tis. Kč)","697A","ČR","0","Celkem","A-S","Celkem","0","","","2022","2022","Česko","CZ","","","","","2078803990.4799907"
"Mzdy včetně ostatních osobních nákladů (tis. Kč)","697A","ČR","0","Celkem","A-S","Celkem","0","","","2023","2023","Česko","CZ","","","","","2239331712.000857"
"Mzdy včetně ostatních osobních nákladů (tis. Kč)","697A","ČR","0","Celkem","A-S","Celkem","0","","","2024","2024","Česko","CZ","","","","","2374910921.5795417"
"Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč)","697RROZ","ČR","0","Celkem","A-S","Celkem","0","","","2018","2018","Česko","CZ","","","","","148204074.137994"
"Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč)","697RROZ","ČR","0","Celkem","A-S","Celkem","0","","","2019","2019","Česko","CZ","","","","","133725671.156879"
"Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč)","697RROZ","ČR","0","Celkem","A-S","Celkem","0","","","2020","2020","Česko","CZ","","","","","53865210.2525494"
"Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč)","697RROZ","ČR","0","Celkem","A-S","Celkem","0","","","2021","2021","Česko","CZ","","","","","110782169.842916"
"Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč)","697RROZ","ČR","0","Celkem","A-S","Celkem","0","","","2022","2022","Česko","CZ","","","","","129374094.54386322"
"Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč)","697RROZ","ČR","0","Celkem","A-S","Celkem","0","","","2023","2023","Česko","CZ","","","","","160527721.52086613"
"Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč)","697RROZ","ČR","0","Celkem","A-S","Celkem","0","","","2024","2024","Česko","CZ","","","","","135579209.57868505"
"Mzdy včetně ostatních osobních nákladů - meziroční index (%)","697I","ČR","0","Celkem","A-S","Celkem","0","","","2018","2018","Česko","CZ","","","","","109.8615165133"
"Mzdy včetně ostatních osobních nákladů - meziroční index (%)","697I","ČR","0","Celkem","A-S","Celkem","0","","","2019","2019","Česko","CZ","","","","","108.0993983694"
"Mzdy včetně ostatních osobních nákladů - meziroční index (%)","697I","ČR","0","Celkem","A-S","Celkem","0","","","2020","2020","Česko","CZ","","","","","103.0180265536"
"Mzdy včetně ostatních osobních nákladů - meziroční index (%)","697I","ČR","0","Celkem","A-S","Celkem","0","","","2021","2021","Česko","CZ","","","","","106.0251982079"
"Mzdy včetně ostatních osobních nákladů - meziroční index (%)","697I","ČR","0","Celkem","A-S","Celkem","0","","","2022","2022","Česko","CZ","","","","","106.6365092078"
"Mzdy včetně ostatních osobních nákladů - meziroční index (%)","697I","ČR","0","Celkem","A-S","Celkem","0","","","2023","2023","Česko","CZ","","","","","107.7221191731"
"Mzdy včetně ostatních osobních nákladů - meziroční index (%)","697I","ČR","0","Celkem","A-S","Celkem","0","","","2024","2024","Česko","CZ","","","","","106.0544495865"
"Mzdy bez ostatních osobních nákladů (tis. Kč)","348A","ČR","0","Celkem","A-S","Celkem","0","","","2017","2017","Česko","CZ","","","","","1427014602.88653"
"Mzdy bez ostatních osobních nákladů (tis. Kč)","348A","ČR","0","Celkem","A-S","Celkem","0","","","2018","2018","Česko","CZ","","","","","1566771934.41539"
"Mzdy bez ostatních osobních nákladů (tis. Kč)","348A","ČR","0","Celkem","A-S","Celkem","0","","","2019","2019","Česko","CZ","","","","","1685336811.78436"
"Mzdy bez ostatních osobních nákladů (tis. Kč)","348A","ČR","0","Celkem","A-S","Celkem","0","","","2020","2020","Česko","CZ","","","","","1733072227.3609"
"Mzdy bez ostatních osobních nákladů (tis. Kč)","348A","ČR","0","Celkem","A-S","Celkem","0","","","2021","2021","Česko","CZ","","","","","1837702134.177599"
"Mzdy bez ostatních osobních nákladů (tis. Kč)","348A","ČR","0","Celkem","A-S","Celkem","0","","","2022","2022","Česko","CZ","","","","","1930822581.3294058"
"Mzdy bez ostatních osobních nákladů (tis. Kč)","348A","ČR","0","Celkem","A-S","Celkem","0","","","2023","2023","Česko","CZ","","","","","2078913933.885676"
"Mzdy bez ostatních osobních nákladů (tis. Kč)","348A","ČR","0","Celkem","A-S","Celkem","0","","","2024","2024","Česko","CZ","","","","","2217468379.1865635"
"Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč)","348RROZ","ČR","0","Celkem","A-S","Celkem","0","","","2018","2018","Česko","CZ","","","","","139757331.528859"
"Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč)","348RROZ","ČR","0","Celkem","A-S","Celkem","0","","","2019","2019","Česko","CZ","","","","","118564877.368973"
"Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč)","348RROZ","ČR","0","Celkem","A-S","Celkem","0","","","2020","2020","Česko","CZ","","","","","47735415.5765373"
"Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč)","348RROZ","ČR","0","Celkem","A-S","Celkem","0","","","2021","2021","Česko","CZ","","","","","104629906.816703"
"Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč)","348RROZ","ČR","0","Celkem","A-S","Celkem","0","","","2022","2022","Česko","CZ","","","","","93120447.15180685"
"Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč)","348RROZ","ČR","0","Celkem","A-S","Celkem","0","","","2023","2023","Česko","CZ","","","","","148091352.55626997"
"Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč)","348RROZ","ČR","0","Celkem","A-S","Celkem","0","","","2024","2024","Česko","CZ","","","","","138554445.30088758"
"Mzdy bez ostatních osobních nákladů - meziroční index (%)","348I","ČR","0","Celkem","A-S","Celkem","0","","","2018","2018","Česko","CZ","","","","","109.7936861505"
"Mzdy bez ostatních osobních nákladů - meziroční index (%)","348I","ČR","0","Celkem","A-S","Celkem","0","","","2019","2019","Česko","CZ","","","","","107.5674624216"
"Mzdy bez ostatních osobních nákladů - meziroční index (%)","348I","ČR","0","Celkem","A-S","Celkem","0","","","2020","2020","Česko","CZ","","","","","102.8323961859"
"Mzdy bez ostatních osobních nákladů - meziroční index (%)","348I","ČR","0","Celkem","A-S","Celkem","0","","","2021","2021","Česko","CZ","","","","","106.0372502176"
"Mzdy bez ostatních osobních nákladů - meziroční index (%)","348I","ČR","0","Celkem","A-S","Celkem","0","","","2022","2022","Česko","CZ","","","","","105.0672220171"
"Mzdy bez ostatních osobních nákladů - meziroční index (%)","348I","ČR","0","Celkem","A-S","Celkem","0","","","2023","2023","Česko","CZ","","","","","107.669858121"
"Mzdy bez ostatních osobních nákladů - meziroční index (%)","348I","ČR","0","Celkem","A-S","Celkem","0","","","2024","2024","Česko","CZ","","","","","106.6647513898"
"Ostatní osobní náklady (tis. Kč)","390A","ČR","0","Celkem","A-S","Celkem","0","","","2017","2017","Česko","CZ","","","","","75838167.6592624"
"Ostatní osobní náklady (tis. Kč)","390A","ČR","0","Celkem","A-S","Celkem","0","","","2018","2018","Česko","CZ","","","","","84284910.2683973"
"Ostatní osobní náklady (tis. Kč)","390A","ČR","0","Celkem","A-S","Celkem","0","","","2019","2019","Česko","CZ","","","","","99445704.0563036"
"Ostatní osobní náklady (tis. Kč)","390A","ČR","0","Celkem","A-S","Celkem","0","","","2020","2020","Česko","CZ","","","","","105575498.732316"
"Ostatní osobní náklady (tis. Kč)","390A","ČR","0","Celkem","A-S","Celkem","0","","","2021","2021","Česko","CZ","","","","","111727761.75852843"
"Ostatní osobní náklady (tis. Kč)","390A","ČR","0","Celkem","A-S","Celkem","0","","","2022","2022","Česko","CZ","","","","","147981409.1505848"
"Ostatní osobní náklady (tis. Kč)","390A","ČR","0","Celkem","A-S","Celkem","0","","","2023","2023","Česko","CZ","","","","","160417778.11518097"
"Ostatní osobní náklady (tis. Kč)","390A","ČR","0","Celkem","A-S","Celkem","0","","","2024","2024","Česko","CZ","","","","","157442542.39297843"
"Ostatní osobní náklady - meziroční rozdíl (tis. Kč)","390RROZ","ČR","0","Celkem","A-S","Celkem","0","","","2018","2018","Česko","CZ","","","","","8446742.60913487"
"Ostatní osobní náklady - meziroční rozdíl (tis. Kč)","390RROZ","ČR","0","Celkem","A-S","Celkem","0","","","2019","2019","Česko","CZ","","","","","15160793.7879063"
"Ostatní osobní náklady - meziroční rozdíl (tis. Kč)","390RROZ","ČR","0","Celkem","A-S","Celkem","0","","","2020","2020","Česko","CZ","","","","","6129794.67601203"
"Ostatní osobní náklady - meziroční rozdíl (tis. Kč)","390RROZ","ČR","0","Celkem","A-S","Celkem","0","","","2021","2021","Česko","CZ","","","","","6152263.02621279"
"Ostatní osobní náklady - meziroční rozdíl (tis. Kč)","390RROZ","ČR","0","Celkem","A-S","Celkem","0","","","2022","2022","Česko","CZ","","","","","36253647.39205637"
"Ostatní osobní náklady - meziroční rozdíl (tis. Kč)","390RROZ","ČR","0","Celkem","A-S","Celkem","0","","","2023","2023","Česko","CZ","","","","","12436368.964596163"
"Ostatní osobní náklady - meziroční rozdíl (tis. Kč)","390RROZ","ČR","0","Celkem","A-S","Celkem","0","","","2024","2024","Česko","CZ","","","","","-2975235.722202521"
"Ostatní osobní náklady - meziroční index (%)","390I","ČR","0","Celkem","A-S","Celkem","0","","","2018","2018","Česko","CZ","","","","","111.1378516515"
"Ostatní osobní náklady - meziroční index (%)","390I","ČR","0","Celkem","A-S","Celkem","0","","","2019","2019","Česko","CZ","","","","","117.9875540469"
"Ostatní osobní náklady - meziroční index (%)","390I","ČR","0","Celkem","A-S","Celkem","0","","","2020","2020","Česko","CZ","","","","","106.1639612633"
"Ostatní osobní náklady - meziroční index (%)","390I","ČR","0","Celkem","A-S","Celkem","0","","","2021","2021","Česko","CZ","","","","","105.8273587149"
"Ostatní osobní náklady - meziroční index (%)","390I","ČR","0","Celkem","A-S","Celkem","0","","","2022","2022","Česko","CZ","","","","","132.448199822"
"Ostatní osobní náklady - meziroční index (%)","390I","ČR","0","Celkem","A-S","Celkem","0","","","2023","2023","Česko","CZ","","","","","108.4040076628"
"Ostatní osobní náklady - meziroční index (%)","390I","ČR","0","Celkem","A-S","Celkem","0","","","2024","2024","Česko","CZ","","","","","98.1453204519"
"Mzdy včetně ostatních osobních nákladů (tis. Kč)","697A","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2017","2017","Česko","CZ","","","","","1059277585.36168"
"Mzdy včetně ostatních osobních nákladů (tis. Kč)","697A","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2018","2018","Česko","CZ","","","","","1158258724.93396"
"Mzdy včetně ostatních osobních nákladů (tis. Kč)","697A","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2019","2019","Česko","CZ","","","","","1243992128.76917"
"Mzdy včetně ostatních osobních nákladů (tis. Kč)","697A","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2020","2020","Česko","CZ","","","","","1256213063.94621"
"Mzdy včetně ostatních osobních nákladů (tis. Kč)","697A","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2021","2021","Česko","CZ","","","","","1328373662.251928"
"Mzdy včetně ostatních osobních nákladů (tis. Kč)","697A","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2022","2022","Česko","CZ","","","","","1443397213.521708"
"Mzdy včetně ostatních osobních nákladů (tis. Kč)","697A","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2023","2023","Česko","CZ","","","","","1561277536.1896968"
"Mzdy včetně ostatních osobních nákladů (tis. Kč)","697A","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2024","2024","Česko","CZ","","","","","1655278669.2819138"
"Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč)","697RROZ","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2018","2018","Česko","CZ","","","","","98981139.5722797"
"Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč)","697RROZ","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2019","2019","Česko","CZ","","","","","85733403.8352119"
"Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč)","697RROZ","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2020","2020","Česko","CZ","","","","","12220935.1770457"
"Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč)","697RROZ","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2021","2021","Česko","CZ","","","","","72160598.3057135"
"Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč)","697RROZ","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2022","2022","Česko","CZ","","","","","115023551.26977985"
"Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč)","697RROZ","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2023","2023","Česko","CZ","","","","","117880322.66798882"
"Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč)","697RROZ","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2024","2024","Česko","CZ","","","","","94001133.09221688"
"Mzdy včetně ostatních osobních nákladů - meziroční index (%)","697I","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2018","2018","Česko","CZ","","","","","109.3442116533"
"Mzdy včetně ostatních osobních nákladů - meziroční index (%)","697I","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2019","2019","Česko","CZ","","","","","107.4019216941"
"Mzdy včetně ostatních osobních nákladů - meziroční index (%)","697I","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2020","2020","Česko","CZ","","","","","100.9823965035"
"Mzdy včetně ostatních osobních nákladů - meziroční index (%)","697I","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2021","2021","Česko","CZ","","","","","105.7442961212"
"Mzdy včetně ostatních osobních nákladů - meziroční index (%)","697I","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2022","2022","Česko","CZ","","","","","108.6589755984"
"Mzdy včetně ostatních osobních nákladů - meziroční index (%)","697I","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2023","2023","Česko","CZ","","","","","108.1668664428"
"Mzdy včetně ostatních osobních nákladů - meziroční index (%)","697I","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2024","2024","Česko","CZ","","","","","106.0207830391"
"Mzdy bez ostatních osobních nákladů (tis. Kč)","348A","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2017","2017","Česko","CZ","","","","","1013323678.02806"
"Mzdy bez ostatních osobních nákladů (tis. Kč)","348A","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2018","2018","Česko","CZ","","","","","1107667144.47185"
"Mzdy bez ostatních osobních nákladů (tis. Kč)","348A","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2019","2019","Česko","CZ","","","","","1183579533.71368"
"Mzdy bez ostatních osobních nákladů (tis. Kč)","348A","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2020","2020","Česko","CZ","","","","","1189846111.91772"
"Mzdy bez ostatních osobních nákladů (tis. Kč)","348A","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2021","2021","Česko","CZ","","","","","1258031581.228202"
"Mzdy bez ostatních osobních nákladů (tis. Kč)","348A","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2022","2022","Česko","CZ","","","","","1340731962.2592661"
"Mzdy bez ostatních osobních nákladů (tis. Kč)","348A","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2023","2023","Česko","CZ","","","","","1447801135.5743241"
"Mzdy bez ostatních osobních nákladů (tis. Kč)","348A","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2024","2024","Česko","CZ","","","","","1552317760.7424304"
"Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč)","348RROZ","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2018","2018","Česko","CZ","","","","","94343466.4437903"
"Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč)","348RROZ","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2019","2019","Česko","CZ","","","","","75912389.2418248"
"Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč)","348RROZ","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2020","2020","Česko","CZ","","","","","6266578.20403745"
"Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč)","348RROZ","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2021","2021","Česko","CZ","","","","","68185469.3104851"
"Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč)","348RROZ","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2022","2022","Česko","CZ","","","","","82700381.03106397"
"Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč)","348RROZ","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2023","2023","Česko","CZ","","","","","107069173.315058"
"Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč)","348RROZ","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2024","2024","Česko","CZ","","","","","104516625.16810647"
"Mzdy bez ostatních osobních nákladů - meziroční index (%)","348I","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2018","2018","Česko","CZ","","","","","109.3102992153"
"Mzdy bez ostatních osobních nákladů - meziroční index (%)","348I","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2019","2019","Česko","CZ","","","","","106.8533574929"
"Mzdy bez ostatních osobních nákladů - meziroční index (%)","348I","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2020","2020","Česko","CZ","","","","","100.5294598314"
"Mzdy bez ostatních osobních nákladů - meziroční index (%)","348I","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2021","2021","Česko","CZ","","","","","105.7306124403"
"Mzdy bez ostatních osobních nákladů - meziroční index (%)","348I","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2022","2022","Česko","CZ","","","","","106.5737921261"
"Mzdy bez ostatních osobních nákladů - meziroční index (%)","348I","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2023","2023","Česko","CZ","","","","","107.9858746065"
"Mzdy bez ostatních osobních nákladů - meziroční index (%)","348I","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2024","2024","Česko","CZ","","","","","107.2189904124"
"Ostatní osobní náklady (tis. Kč)","390A","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2017","2017","Česko","CZ","","","","","45953907.3336129"
"Ostatní osobní náklady (tis. Kč)","390A","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2018","2018","Česko","CZ","","","","","50591580.4621023"
"Ostatní osobní náklady (tis. Kč)","390A","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2019","2019","Česko","CZ","","","","","60412595.0554894"
"Ostatní osobní náklady (tis. Kč)","390A","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2020","2020","Česko","CZ","","","","","66366952.0284976"
"Ostatní osobní náklady (tis. Kč)","390A","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2021","2021","Česko","CZ","","","","","70342081.02372602"
"Ostatní osobní náklady (tis. Kč)","390A","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2022","2022","Česko","CZ","","","","","102665251.2624419"
"Ostatní osobní náklady (tis. Kč)","390A","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2023","2023","Česko","CZ","","","","","113476400.61537273"
"Ostatní osobní náklady (tis. Kč)","390A","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2024","2024","Česko","CZ","","","","","102960908.53948314"
"Ostatní osobní náklady - meziroční rozdíl (tis. Kč)","390RROZ","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2018","2018","Česko","CZ","","","","","4637673.12848941"
"Ostatní osobní náklady - meziroční rozdíl (tis. Kč)","390RROZ","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2019","2019","Česko","CZ","","","","","9821014.5933871"
"Ostatní osobní náklady - meziroční rozdíl (tis. Kč)","390RROZ","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2020","2020","Česko","CZ","","","","","5954356.97300821"
"Ostatní osobní náklady - meziroční rozdíl (tis. Kč)","390RROZ","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2021","2021","Česko","CZ","","","","","3975128.9952284"
"Ostatní osobní náklady - meziroční rozdíl (tis. Kč)","390RROZ","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2022","2022","Česko","CZ","","","","","32323170.238715883"
"Ostatní osobní náklady - meziroční rozdíl (tis. Kč)","390RROZ","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2023","2023","Česko","CZ","","","","","10811149.352930836"
"Ostatní osobní náklady - meziroční rozdíl (tis. Kč)","390RROZ","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2024","2024","Česko","CZ","","","","","-10515492.075889593"
"Ostatní osobní náklady - meziroční index (%)","390I","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2018","2018","Česko","CZ","","","","","110.0920104461"
"Ostatní osobní náklady - meziroční index (%)","390I","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2019","2019","Česko","CZ","","","","","119.4123498489"
"Ostatní osobní náklady - meziroční index (%)","390I","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2020","2020","Česko","CZ","","","","","109.8561516312"
"Ostatní osobní náklady - meziroční index (%)","390I","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2021","2021","Česko","CZ","","","","","105.9896211499"
"Ostatní osobní náklady - meziroční index (%)","390I","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2022","2022","Česko","CZ","","","","","145.95139889"
"Ostatní osobní náklady - meziroční index (%)","390I","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2023","2023","Česko","CZ","","","","","110.5304854564"
"Ostatní osobní náklady - meziroční index (%)","390I","ČR","0","Celkem","A-S","Nefinanční podniky","11000","","","2024","2024","Česko","CZ","","","","","90.7333225068"
"Mzdy včetně ostatních osobních nákladů (tis. Kč)","697A","ČR","0","Celkem","A-S","Finanční podniky","12000","","","2017","2017","Česko","CZ","","","","","46896720.050889"
"Mzdy včetně ostatních osobních nákladů (tis. Kč)","697A","ČR","0","Celkem","A-S","Finanční podniky","12000","","","2018","2018","Česko","CZ","","","","","50041847.1935539"
"Mzdy včetně ostatních osobních nákladů (tis. Kč)","697A","ČR","0","Celkem","A-S","Finanční podniky","12000","","","2019","2019","Česko","CZ","","","","","53547466.1131816"
"Mzdy včetně ostatních osobních nákladů (tis. Kč)","697A","ČR","0","Celkem","A-S","Finanční podniky","12000","","","2020","2020","Česko","CZ","","","","","53947232.3177283"
"Mzdy včetně ostatních osobních nákladů (tis. Kč)","697A","ČR","0","Celkem","A-S","Finanční podniky","12000","","","2021","2021","Česko","CZ","","","","","55753008.94546574"
"Mzdy včetně ostatních osobních nákladů (tis. Kč)","697A","ČR","0","Celkem","A-S","Finanční podniky","12000","","","2022","2022","Česko","CZ","","","","","59264990.75391013"
"Mzdy včetně ostatních osobních nákladů (tis. Kč)","697A","ČR","0","Celkem","A-S","Finanční podniky","12000","","","2023","2023","Česko","CZ","","","","","63805654.32808245"
"Mzdy včetně ostatních osobních nákladů (tis. Kč)","697A","ČR","0","Celkem","A-S","Finanční podniky","12000","","","2024","2024","Česko","CZ","","","","","67298943.09001492"
"Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč)","697RROZ","ČR","0","Celkem","A-S","Finanční podniky","12000","","","2018","2018","Česko","CZ","","","","","3145127.14266493"
"Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč)","697RROZ","ČR","0","Celkem","A-S","Finanční podniky","12000","","","2019","2019","Česko","CZ","","","","","3505618.91962771"
"Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč)","697RROZ","ČR","0","Celkem","A-S","Finanční podniky","12000","","","2020","2020","Česko","CZ","","","","","399766.204546686"
"Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč)","697RROZ","ČR","0","Celkem","A-S","Finanční podniky","12000","","","2021","2021","Česko","CZ","","","","","1805776.62773746"
"Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč)","697RROZ","ČR","0","Celkem","A-S","Finanční podniky","12000","","","2022","2022","Česko","CZ","","","","","3511981.8084443896"
"Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč)","697RROZ","ČR","0","Celkem","A-S","Finanční podniky","12000","","","2023","2023","Česko","CZ","","","","","4540663.574172319"
"Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč)","697RROZ","ČR","0","Celkem","A-S","Finanční podniky","12000","","","2024","2024","Česko","CZ","","","","","3493288.761932468"
"Mzdy včetně ostatních osobních nákladů - meziroční index (%)","697I","ČR","0","Celkem","A-S","Finanční podniky","12000","","","2018","2018","Česko","CZ","","","","","106.7064970413"
"Mzdy včetně ostatních osobních nákladů - meziroční index (%)","697I","ČR","0","Celkem","A-S","Finanční podniky","12000","","","2019","2019","Česko","CZ","","","","","107.0053747338"
"Mzdy včetně ostatních osobních nákladů - meziroční index (%)","697I","ČR","0","Celkem","A-S","Finanční podniky","12000","","","2020","2020","Česko","CZ","","","","","100.7465641861"
"Mzdy včetně ostatních osobních nákladů - meziroční index (%)","697I","ČR","0","Celkem","A-S","Finanční podniky","12000","","","2021","2021","Česko","CZ","","","","","103.347301706"
"Mzdy včetně ostatních osobních nákladů - meziroční index (%)","697I","ČR","0","Celkem","A-S","Finanční podniky","12000","","","2022","2022","Česko","CZ","","","","","106.2991789589"
"Mzdy včetně ostatních osobních nákladů - meziroční index (%)","697I","ČR","0","Celkem","A-S","Finanční podniky","12000","","","2023","2023","Česko","CZ","","","","","107.6616287566"
"Mzdy včetně ostatních osobních nákladů - meziroční index (%)","697I","ČR","0","Celkem","A-S","Finanční podniky","12000","","","2024","2024","Česko","CZ","","","","","105.4748890184"
"Mzdy bez ostatních osobních nákladů (tis. Kč)","348A","ČR","0","Celkem","A-S","Finanční podniky","12000","","","2017","2017","Česko","CZ","","","","","44841344.2368554"
"Mzdy bez ostatních osobních nákladů (tis. Kč)","348A","ČR","0","Celkem","A-S","Finanční podniky","12000","","","2018","2018","Česko","CZ","","","","","47910269.7918697"
"Mzdy bez ostatních osobních nákladů (tis. Kč)","348A","ČR","0","Celkem","A-S","Finanční podniky","12000","","","2019","2019","Česko","CZ","","","","","50842205.4927676"
