"Ukazatel","IndicatorType","Odvětví ekonomické činnosti","CZNACEMZDY","Šetření","ZJIST","Kraje","Uz2","Roky","CasR","Hodnota"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Královéhradecký kraj","CZ052","2021","2021","29623"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Královéhradecký kraj","CZ052","2022","2022","32579"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Pardubický kraj","CZ053","2010","2010","20945"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Pardubický kraj","CZ053","2011","2011","21286"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Pardubický kraj","CZ053","2012","2012","21867"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Pardubický kraj","CZ053","2013","2013","22447"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Pardubický kraj","CZ053","2014","2014","22439"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Pardubický kraj","CZ053","2015","2015","22788"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Pardubický kraj","CZ053","2016","2016","24276"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Pardubický kraj","CZ053","2017","2017","25767"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Pardubický kraj","CZ053","2018","2018","27153"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Pardubický kraj","CZ053","2019","2019","29503"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Pardubický kraj","CZ053","2020","2020","31519"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Pardubický kraj","CZ053","2021","2021","32338"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Pardubický kraj","CZ053","2022","2022","35471"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Kraj Vysočina","CZ063","2010","2010","21627"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Kraj Vysočina","CZ063","2011","2011","21668"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Kraj Vysočina","CZ063","2012","2012","22010"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Kraj Vysočina","CZ063","2013","2013","22234"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Kraj Vysočina","CZ063","2014","2014","23146"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Kraj Vysočina","CZ063","2015","2015","23687"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Kraj Vysočina","CZ063","2016","2016","23733"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Kraj Vysočina","CZ063","2017","2017","24816"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Kraj Vysočina","CZ063","2018","2018","26542"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Kraj Vysočina","CZ063","2019","2019","29044"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Kraj Vysočina","CZ063","2020","2020","30301"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Kraj Vysočina","CZ063","2021","2021","31946"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Kraj Vysočina","CZ063","2022","2022","33975"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Jihomoravský kraj","CZ064","2010","2010","23723"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Jihomoravský kraj","CZ064","2011","2011","24513"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Jihomoravský kraj","CZ064","2012","2012","24667"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Jihomoravský kraj","CZ064","2013","2013","23576"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Jihomoravský kraj","CZ064","2014","2014","25772"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Jihomoravský kraj","CZ064","2015","2015","25709"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Jihomoravský kraj","CZ064","2016","2016","25794"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Jihomoravský kraj","CZ064","2017","2017","27815"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Jihomoravský kraj","CZ064","2018","2018","28757"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Jihomoravský kraj","CZ064","2019","2019","31090"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Jihomoravský kraj","CZ064","2020","2020","33247"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Jihomoravský kraj","CZ064","2021","2021","34481"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Jihomoravský kraj","CZ064","2022","2022","37668"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Olomoucký kraj","CZ071","2010","2010","23366"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Olomoucký kraj","CZ071","2011","2011","21610"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Olomoucký kraj","CZ071","2012","2012","21834"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Olomoucký kraj","CZ071","2013","2013","21579"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Olomoucký kraj","CZ071","2014","2014","21813"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Olomoucký kraj","CZ071","2015","2015","21401"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Olomoucký kraj","CZ071","2016","2016","22670"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Olomoucký kraj","CZ071","2017","2017","23697"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Olomoucký kraj","CZ071","2018","2018","26061"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Olomoucký kraj","CZ071","2019","2019","27180"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Olomoucký kraj","CZ071","2020","2020","28917"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Olomoucký kraj","CZ071","2021","2021","30548"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Olomoucký kraj","CZ071","2022","2022","33267"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Zlínský kraj","CZ072","2010","2010","21003"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Zlínský kraj","CZ072","2011","2011","21007"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Zlínský kraj","CZ072","2012","2012","21108"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Zlínský kraj","CZ072","2013","2013","21648"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Zlínský kraj","CZ072","2014","2014","21800"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Zlínský kraj","CZ072","2015","2015","22560"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Zlínský kraj","CZ072","2016","2016","23516"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Zlínský kraj","CZ072","2017","2017","25311"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Zlínský kraj","CZ072","2018","2018","27316"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Zlínský kraj","CZ072","2019","2019","29751"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Zlínský kraj","CZ072","2020","2020","31136"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Zlínský kraj","CZ072","2021","2021","32308"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Zlínský kraj","CZ072","2022","2022","34186"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Moravskoslezský kraj","CZ080","2010","2010","20939"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Moravskoslezský kraj","CZ080","2011","2011","21339"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Moravskoslezský kraj","CZ080","2012","2012","21849"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Moravskoslezský kraj","CZ080","2013","2013","21873"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Moravskoslezský kraj","CZ080","2014","2014","23070"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Moravskoslezský kraj","CZ080","2015","2015","23331"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Moravskoslezský kraj","CZ080","2016","2016","24246"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Moravskoslezský kraj","CZ080","2017","2017","25941"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Moravskoslezský kraj","CZ080","2018","2018","27173"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Moravskoslezský kraj","CZ080","2019","2019","29102"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Moravskoslezský kraj","CZ080","2020","2020","31137"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Moravskoslezský kraj","CZ080","2021","2021","31818"
"Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč)","5958P","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Moravskoslezský kraj","CZ080","2022","2022","34455"
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","5958F","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Hlavní město Praha","CZ010","2010","2010","27940"
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","5958F","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Hlavní město Praha","CZ010","2011","2011","28399"
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","5958F","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Hlavní město Praha","CZ010","2012","2012","28243"
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","5958F","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Hlavní město Praha","CZ010","2013","2013","27739"
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","5958F","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Hlavní město Praha","CZ010","2014","2014","28008"
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","5958F","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Hlavní město Praha","CZ010","2015","2015","29207"
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","5958F","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Hlavní město Praha","CZ010","2016","2016","30844"
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","5958F","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Hlavní město Praha","CZ010","2017","2017","32708"
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","5958F","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Hlavní město Praha","CZ010","2018","2018","34029"
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","5958F","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Hlavní město Praha","CZ010","2019","2019","36386"
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","5958F","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Hlavní město Praha","CZ010","2020","2020","36612"
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","5958F","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Hlavní město Praha","CZ010","2021","2021","38518"
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","5958F","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Hlavní město Praha","CZ010","2022","2022","40997"
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","5958F","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Středočeský kraj","CZ020","2010","2010","21491"
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","5958F","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Středočeský kraj","CZ020","2011","2011","21631"
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","5958F","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Středočeský kraj","CZ020","2012","2012","22465"
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","5958F","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Středočeský kraj","CZ020","2013","2013","22829"
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","5958F","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Středočeský kraj","CZ020","2014","2014","23135"
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","5958F","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Středočeský kraj","CZ020","2015","2015","23637"
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","5958F","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Středočeský kraj","CZ020","2016","2016","24676"
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","5958F","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Středočeský kraj","CZ020","2017","2017","26331"
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","5958F","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Středočeský kraj","CZ020","2018","2018","29064"
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","5958F","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Středočeský kraj","CZ020","2019","2019","30630"
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","5958F","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Středočeský kraj","CZ020","2020","2020","31885"
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","5958F","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Středočeský kraj","CZ020","2021","2021","33263"
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","5958F","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Středočeský kraj","CZ020","2022","2022","35797"
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","5958F","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Jihočeský kraj","CZ031","2010","2010","20651"
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","5958F","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Jihočeský kraj","CZ031","2011","2011","21338"
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","5958F","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Jihočeský kraj","CZ031","2012","2012","21902"
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","5958F","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Jihočeský kraj","CZ031","2013","2013","22345"
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","5958F","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Jihočeský kraj","CZ031","2014","2014","22298"
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","5958F","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Jihočeský kraj","CZ031","2015","2015","22013"
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","5958F","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Jihočeský kraj","CZ031","2016","2016","23518"
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","5958F","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Jihočeský kraj","CZ031","2017","2017","25045"
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","5958F","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Jihočeský kraj","CZ031","2018","2018","26443"
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","5958F","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Jihočeský kraj","CZ031","2019","2019","28532"
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","5958F","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Jihočeský kraj","CZ031","2020","2020","30689"
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","5958F","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Jihočeský kraj","CZ031","2021","2021","31487"
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","5958F","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Jihočeský kraj","CZ031","2022","2022","33215"
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","5958F","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Plzeňský kraj","CZ032","2010","2010","22556"
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","5958F","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Plzeňský kraj","CZ032","2011","2011","21670"
"Průměrná hrubá měsíční mzda na fyzické osoby (Kč)","5958F","E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi","E","Pracovištní metoda","2","Plzeňský kraj","CZ032","2012","2012","22686"
